"Name","Mittelbreite","Radius","Taillierung","Gewicht","Größen","Preis","Link"
"KÄSTLE PARAGON 107 24/25 SKI",107,192,"140, 107, 129",2050,"178, 192","699.00","https://www.sport-conrad.com/produkte/kaestle/paragon-107.html"
"FISCHER RANGER 108 24/25 SKI",109,18,"143, 109, 134",2120,"178","499.00","https://www.sport-conrad.com/produkte/fischer/ranger-108-sc.html"
"SALOMON QST SPARK 24/25 SKI",85,15,"117, 85, 109",1825,"178","249.00","https://www.sport-conrad.com/produkte/salomon/qst-spark-sc.html"
"SALOMON QST LUX 92 24/25 SKI DAMEN",92,13,"126, 92, 114",1610,"152, 160","359.00","https://www.sport-conrad.com/produkte/salomon/qst-lux-92-sc.html"
"ATOMIC MAVERICK 88 TI 24/25 SKI",88,195,"126, 88, 5, 109, 5",1800,"169, 176, 184","499.00","https://www.sport-conrad.com/produkte/atomic/maverick-88-ti-sc.html"
"FACTION DANCER 4 24/25 SKI",116,21,"141, 116, 131",2080,"185","599.00","https://www.sport-conrad.com/produkte/faction/dancer-4-sc-1.html"
"BLACK CROWS CAMOX BIRDIE 24/25 SKI DAMEN",97,19,"128, 97, 116",1700,"156, 162, 168, 174","619.00","https://www.sport-conrad.com/produkte/black-crows/camox-birdie-sc-1.html"
"BLACK CROWS SERPO 24/25 SKI",93,20,"131, 93, 115",1750,"160, 168, 174, 180, 186","749.00","https://www.sport-conrad.com/produkte/black-crows/serpo-sc-2.html"
"ATOMIC BENT CHETLER 120 24/25 SKI",120,19,"143, 120, 134",1800,"184, 192","519.00","https://www.sport-conrad.com/produkte/atomic/bent-chetler-120-sc-2.html"
"ARMADA ARW 94 24/25 SKI DAMEN",94,17,"123, 94, 118",1650,"164, 171","349.00","https://www.sport-conrad.com/produkte/armada/arw-94-sc.html"
"NORDICA ENFORCER 94 24/25 SKI",94,171,"127, 94, 115, 5",2056,"167, 173, 179","499.00","https://www.sport-conrad.com/produkte/nordica/enforcer-94-sc-3.html"
"NORDICA SANTA ANA 92 24/25 SKI DAMEN",92,165,"122, 92, 110",1840,"155, 161, 167","479.00","https://www.sport-conrad.com/produkte/nordica/santa-ana-92.html"
"LINE OPTIC 114 24/25 SKI",114,24,"139, 114, 132",2170,"178, 186","499.00","https://www.sport-conrad.com/produkte/line/optic-114.html"
"BLACK CROWS CAMOX 24/25 SKI",97,20,"130, 97, 118",1825,"168, 174, 180, 186","619.00","https://www.sport-conrad.com/produkte/black-crows/camox-sc-4.html"
"BLACK CROWS CAPTIS 24/25 SKI",90,18,"128, 90, 114",1800,"184","449.00","https://www.sport-conrad.com/produkte/black-crows/captis-sc.html"
"ATOMIC BENT 110 24/25 SKI",110,18,"133, 110, 124",1750,"164, 172, 180, 188","529.00","https://www.sport-conrad.com/produkte/atomic/bent-110-sc-1.html"
"BLIZZARD RUSTLER 10 24/25 SKI",102,185,"134, 102, 123",1880,"162, 168, 174, 180, 186, 192","499.00","https://www.sport-conrad.com/produkte/blizzard/rustler-10-sc.html"
"HEAD KORE 91 W 24/25 SKI",91,147,"130, 91, 113",,"156, 163","499.00","https://www.sport-conrad.com/produkte/head/kore-91-w-sc-1.html"
"ARMADA ARV 106 24/25 SKI",106,20,"132, 106, 125",2025,"172, 180","399.00","https://www.sport-conrad.com/produkte/armada/arv-106-sc-2.html"
"FACTION AGENT 2X 24/25 SKI DAMEN",96,15,"127, 96, 117",1330,"155, 163, 171","499.00","https://www.sport-conrad.com/produkte/faction/agent-2x-sc.html"
"ARMADA EDOLLO 24/25 SKI",98,205,"133, 98, 123",1975,"164, 172","349.00","https://www.sport-conrad.com/produkte/armada/edollo-sc-3.html"
"FISCHER RANGER 102 24/25 SKI",103,19,"138, 103, 128",2050,"169, 176, 183, 190","549.00","https://www.sport-conrad.com/produkte/fischer/ranger-102-sc-2.html"
"FISCHER RANGER PINK 24/25 SKI",92,15,"128, 92, 117",1800,"142, 152, 182","299.00","https://www.sport-conrad.com/produkte/fischer/ranger-pink.html"
"LINE PANDORA 104 23/24 SKI DAMEN",104,146,"137, 104, 121",1950,"158, 165, 172","299.00","https://www.sport-conrad.com/produkte/line/pandora-104-sc.html"
"FACTION DANCER 2 24/25 SKI",96,19,"127, 96, 117",1900,"182, 187","499.00","https://www.sport-conrad.com/produkte/faction/dancer-2-sc-1.html"
"FACTION DANCER 1 24/25 SKI",86,18,"120, 86, 110",1720,"170, 178","479.00","https://www.sport-conrad.com/produkte/faction/dancer-1-sc.html"
"FACTION DANCER 2 24/25 SKI",96,19,"127, 96, 117",1900,"155, 163, 177","499.00","https://www.sport-conrad.com/produkte/faction/dancer-2-sc-2.html"
"FACTION AGENT 4 24/25 SKI",116,23,"141, 116, 131",1950,"179, 185, 191","499.00","https://www.sport-conrad.com/produkte/faction/agent-4.html"
"FACTION DANCER 1 24/25 SKI",86,18,"120, 86, 110",1720,"154","479.00","https://www.sport-conrad.com/produkte/faction/dancer-1-sc-1.html"
